district,data type,year,gender,age group,number
Affoltern,Pop_Actual,2021,male,65_69,1356.0
Affoltern,Pop_Actual,2021,male,70_74,1303.0
Affoltern,Pop_Actual,2021,male,75_79,1070.0
Affoltern,Pop_Actual,2021,male,80_84,590.0
Affoltern,Pop_Actual,2021,male,85_89,302.0
Affoltern,Pop_Actual,2021,male,90_94,104.0
Affoltern,Pop_Actual,2021,male,95+,19.0
Affoltern,Pop_Actual,2021,female,00_04,1527.0
Affoltern,Pop_Actual,2021,female,05_09,1651.0
Affoltern,Pop_Actual,2021,female,10_14,1512.0
Affoltern,Pop_Actual,2021,female,15_19,1414.0
Affoltern,Pop_Actual,2021,female,20_24,1324.0
Affoltern,Pop_Actual,2021,female,25_29,1321.0
Affoltern,Pop_Actual,2021,female,30_34,1685.0
Affoltern,Pop_Actual,2021,female,35_39,2105.0
Affoltern,Pop_Actual,2021,female,40_44,2122.0
Affoltern,Pop_Actual,2021,female,45_49,2071.0
Affoltern,Pop_Actual,2021,female,50_54,2210.0
Affoltern,Pop_Actual,2021,female,55_59,2189.0
Affoltern,Pop_Actual,2021,female,60_64,1769.0
Affoltern,Pop_Actual,2021,female,65_69,1507.0
Affoltern,Pop_Actual,2021,female,70_74,1431.0
Affoltern,Pop_Actual,2021,female,75_79,1146.0
Affoltern,Pop_Actual,2021,female,80_84,729.0
Affoltern,Pop_Actual,2021,female,85_89,448.0
Affoltern,Pop_Actual,2021,female,90_94,190.0
Affoltern,Pop_Actual,2021,female,95+,51.0
Affoltern,Pop_Actual,2022,male,00_04,1515.0
Affoltern,Pop_Actual,2022,male,05_09,1769.0
Affoltern,Pop_Actual,2022,male,10_14,1697.0
Affoltern,Pop_Actual,2022,male,15_19,1487.0
Affoltern,Pop_Actual,2022,male,20_24,1351.0
Affoltern,Pop_Actual,2022,male,25_29,1420.0
Affoltern,Pop_Actual,2022,male,30_34,1677.0
Affoltern,Pop_Actual,2022,male,35_39,1934.0
Affoltern,Pop_Actual,2022,male,40_44,2155.0
Affoltern,Pop_Actual,2022,male,45_49,2040.0
Affoltern,Pop_Actual,2022,male,50_54,2234.0
Affoltern,Pop_Actual,2022,male,55_59,2226.0
Affoltern,Pop_Actual,2022,male,60_64,1816.0
Affoltern,Pop_Actual,2022,male,65_69,1377.0
Affoltern,Pop_Actual,2022,male,70_74,1282.0
Affoltern,Pop_Actual,2022,male,75_79,1103.0
Affoltern,Pop_Actual,2022,male,80_84,655.0
Affoltern,Pop_Actual,2022,male,85_89,303.0
Affoltern,Pop_Actual,2022,male,90_94,114.0
Affoltern,Pop_Actual,2022,male,95+,21.0
Affoltern,Pop_Actual,2022,female,00_04,1514.0
Affoltern,Pop_Actual,2022,female,05_09,1635.0
